FILE		 PrDir	 PrSpd	 PrHDsp	 RFX	 RFY	 RFDiam	 Spont	 DirMI	 BRate	 Ampl	 PD360	 PD180	 PD90	 FWHM	 DSI	 AnovaP		 Rmeans	 Pmeans		 Rraw	 Praw		 DirDI	 VarTrm	 Chi2		 ChiP		
m60112c1r1.htb	   45.0	  20.00	  0.000	   0.00	   0.00	  30.00	   4.44	  0.218	   9.95	   1.63	 272.36	  87.64	  87.64	 135.12	  0.228	 0.66953866	  0.203	 0.22369354	  0.013	 0.21897050	 0.2945	  0.772	  0.38732	 0.98350161	
m60112c2r2.htb	   45.0	  20.00	  0.000	   8.00	   5.00	  30.00	   7.11	  0.087	  14.52	   0.86	 219.53	 140.47	  39.53	  42.39	  0.104	 0.98981725	  0.274	 0.14789936	  0.004	 0.56107057	 0.1492	  0.509	  0.16071	 0.99693944	
m60117c1r8.htb	   90.0	   5.00	  0.000	   0.00	   0.00	  30.00	   6.77	  0.182	   8.38	   2.73	 112.89	 112.89	  67.11	 432.69	  0.628	 0.74608832	  0.125	 0.35116454	  0.027	 0.14187548	 0.2363	  0.533	  0.23204	 0.99376814	
m60119c1r9.htb	   45.0	  30.00	  0.000	   0.00	   0.00	  60.00	   5.47	  0.405	   5.54	   2.36	  76.97	  76.97	  76.97	 127.40	  0.970	 0.12689544	  0.723	 0.00365742	  0.099	 0.00451510	 0.4002	  0.529	  0.40412	 0.98213859	
m60119c2r6.htb	   45.0	  30.00	  0.000	   0.00	  10.00	  40.00	   8.26	  0.160	  12.00	   1.67	  42.83	  42.83	  42.83	 118.44	  0.309	 0.82976836	  0.557	 0.02087563	  0.017	 0.15290308	 0.1888	  0.724	  0.08751	 0.99907029	
m60124c1r4.htb	    0.0	  20.00	  0.000	   0.00	  10.00	  70.00	   4.78	  0.319	   6.54	   3.98	  18.30	  18.30	  18.30	  42.39	  0.694	 0.09503207	  0.815	 0.00085536	  0.123	 0.00142769	 0.3767	  0.437	  0.17107	 0.99654391	
m60124c2r7.htb	    0.0	  30.00	  0.000	   0.00	  10.00	  70.00	   2.09	  0.353	   0.61	   0.90	  17.68	  17.68	  17.68	 247.61	 -1.527	 0.94639539	  0.482	 0.03809417	  0.025	 0.32568865	 0.3799	  0.440	  1.24398	 0.87080653	
m60124c3r2.htb	   50.0	  30.00	  0.000	  -5.00	  20.00	  70.00	   6.67	  0.227	   8.76	   1.72	 324.58	  35.42	  35.42	  44.63	  0.451	 0.65476469	  0.401	 0.06706178	  0.027	 0.14802402	 0.2653	  0.531	  0.32295	 0.98828486	
m60124c4r8.htb	    0.0	  30.00	  0.000	  10.00	  -5.00	  70.00	   2.04	  0.352	   2.57	   1.58	 351.45	   8.55	   8.55	 114.09	  0.749	 0.56790725	  0.908	 0.00007140	  0.067	 0.02050753	 0.2714	  0.580	  0.11336	 0.99845313	
m60124c5r6.htb	    0.0	  30.00	  0.000	   0.00	   0.00	  70.00	   8.36	  0.312	  10.75	   5.38	 199.87	 160.13	  19.87	  42.39	  0.692	 0.32076273	  0.543	 0.02355067	  0.055	 0.03673756	 0.3457	  0.610	  0.37615	 0.98438271	
m60213c2r7.htb	  350.0	   5.00	  0.000	   0.00	  15.00	  50.00	   1.56	  0.280	   3.00	   1.11	 148.84	 148.84	  31.16	  42.39	  0.436	 0.73266799	  0.567	 0.01910560	  0.021	 0.11395185	 0.2956	  0.453	  0.20710	 0.99499500	
m60213c3r4.htb	  120.0	   5.00	  0.000	   8.00	   0.00	  50.00	   4.53	  0.167	   5.45	   0.94	 186.29	 173.71	   6.29	  78.19	  0.504	 0.99324505	  0.637	 0.00994497	  0.009	 0.40310872	 0.1813	  0.521	  0.02687	 0.99991055	
m60213c4r9.htb	   20.0	  30.00	  0.000	   5.00	  12.00	  50.00	   5.27	  0.276	   5.47	   1.64	 170.95	 170.95	   9.05	  42.39	  0.895	 0.86103818	  0.548	 0.02262606	  0.024	 0.17153141	 0.2556	  0.625	  0.20521	 0.99508287	
m60220c1r8.htb	    0.0	  10.00	  0.000	   5.00	   8.00	  60.00	   1.79	  0.291	   4.33	   1.73	 116.78	 116.78	  63.22	  42.39	  0.404	 0.52144445	  0.377	 0.07874377	  0.032	 0.11420072	 0.3050	  0.438	  0.31559	 0.98878579	
m60317c1r7.htb	  200.0	  10.00	  0.000	   0.00	   0.00	  40.00	   1.24	  0.308	   1.27	   0.56	 203.07	 156.93	  23.07	  81.56	  0.960	 0.84359419	  0.378	 0.07786072	  0.017	 0.25288111	 0.2867	  0.472	  0.29104	 0.99038543	
m60317c2r7.htb	   30.0	  10.00	  0.000	  -5.00	   5.00	  50.00	  10.00	  0.189	  11.15	   1.42	 357.76	   2.24	   2.24	  42.39	  0.552	 0.90043053	  0.406	 0.06472003	  0.015	 0.27498980	 0.1980	  0.662	  0.18305	 0.99605877	
m60404c2r8.htb	  200.0	  10.00	  0.000	   0.00	   0.00	  40.00	   5.92	  0.271	   5.27	   4.25	  53.61	  53.61	  53.61	 465.39	  1.182	 0.40271575	  0.531	 0.02601235	  0.038	 0.08354101	 0.3635	  0.447	  1.72811	 0.78560619	
m60407c1r7.htb	    0.0	  10.00	  0.000	   0.00	  -5.00	  40.00	   6.82	  0.250	   6.39	   1.51	 236.13	 123.87	  56.13	 133.56	  1.401	 0.34262843	  0.642	 0.00944170	  0.062	 0.02555076	 0.3159	  0.421	  0.30967	 0.98918137	
m60407c2r7.htb	    0.0	  10.00	  0.000	   5.00	   0.00	  40.00	   7.01	  0.142	   8.69	   1.03	 294.98	  65.02	  65.02	 222.86	  0.380	 0.99307198	  0.682	 0.00606463	  0.009	 0.39330456	 0.1330	  0.613	  0.02653	 0.99991276	
