FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	
m60626c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  8.35	 27.59	 32.93	 18.41	  9.47	 -14.69	  0.00		  0.00		 1.789	
m60626c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.61	  8.64	 37.14	 25.34	 -1.93	 -5.10	  0.00		  0.00		 1.466	
m60628c3r1.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	  1.94	  8.45	 38.44	 27.27	  5.83	 -2.42	  0.00		 -5.00		 1.410	
m60629c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.51	 16.63	 37.05	 33.28	  6.77	 -11.77	  0.00		  0.00		 1.113	
m60629c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.07	 15.35	 29.44	 24.47	 -6.16	 -8.79	  0.00		  0.00		 1.203	
m60719c2r1.htb	 170.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.88	  3.09	 32.12	 51.46	  8.23	 -0.43	  0.00		  0.00		 0.624	
m60719c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.67	  9.25	 52.31	 50.00	  4.91	  1.43	  0.00		  0.00		 1.046	
m60720c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.96	  6.68	 29.77	 30.11	  0.06	  0.71	  0.00		  0.00		 0.989	
m60720c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.96	  6.68	 29.78	 30.10	  0.06	  0.71	  0.00		  0.00		 0.989	
m60720c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.96	  6.68	 29.78	 30.10	  0.06	  0.71	  0.00		  0.00		 0.989	
m60720c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.75	 10.31	 24.46	 23.02	 -3.25	 -6.77	  0.00		  0.00		 1.062	
m60721c4r1.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.03	 13.20	 61.38	 43.76	 -5.84	  6.35	  0.00		  0.00		 1.403	
m60721c5r1.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.34	 16.95	 39.36	 38.07	  4.00	 -2.88	  0.00		  0.00		 1.034	
m60803c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.02	 12.70	 44.01	 37.61	 -6.42	  4.87	  0.00		  0.00		 1.170	
m60804c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.64	 15.94	 32.82	 28.69	  3.91	 -6.04	  0.00		  0.00		 1.144	
m60815c3r1.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	 11.41	  9.86	 38.45	 22.79	  6.38	 -15.66	 10.00		 -10.00		 1.687	
m60816c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.01	  4.99	 38.44	 25.60	 -9.54	 -9.04	  0.00		  0.00		 1.501	
m60816c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.47	 13.33	 23.47	 23.50	  1.64	  2.79	  0.00		  0.00		 0.999	
m60816c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.47	 13.33	 23.48	 23.50	  1.64	  2.79	  0.00		  0.00		 0.999	
