0.025	 0.075	 0.125	 0.175	 0.225	 0.275	 0.325	 0.375	 0.425	 0.475	 0.525	 0.575	 0.625	 0.675	 0.725	 0.775	 0.825	 0.875	 0.925	 0.975	 1.025	 1.075	 1.125	 1.175	 1.225	 1.275	 1.325	 1.375	 1.425	 1.475	 1.525	 1.575	 1.625	 1.675	 1.725	 1.775	 1.825	 1.875	 1.925	 1.975	 2.025	 2.075	 2.125	 2.175	 2.225	 2.275	 2.325	 2.375	 2.425	 2.475	 2.525	 2.575	 2.625	 2.675	 2.725	 2.775	 2.825	 2.875	 2.925	 2.975	 3.000	
0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.500	 1.000	 0.500	 1.000	 1.000	 0.500	 0.500	 0.500	 0.500	 0.000	 0.500	 0.500	 0.000	 0.000	 0.500	 0.000	 0.000	 0.500	 0.000	 0.000	 0.500	 0.000	 0.500	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.500	 0.000	 0.500	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	
0.067	 0.067	 0.200	 0.000	 0.067	 0.000	 0.000	 0.000	 0.067	 0.133	 0.000	 0.067	 0.333	 0.533	 1.000	 0.533	 0.533	 0.733	 0.733	 0.400	 0.733	 0.600	 0.867	 0.533	 0.667	 0.600	 0.733	 0.600	 0.400	 0.467	 0.400	 0.333	 0.200	 0.333	 0.533	 0.267	 0.600	 0.333	 0.133	 0.333	 0.533	 0.400	 0.733	 0.267	 0.400	 0.400	 0.067	 0.200	 0.067	 0.333	 0.267	 0.200	 0.067	 0.000	 0.000	 0.200	 0.200	 0.200	 0.067	 0.000	 0.000	
0.333	 0.278	 0.222	 0.167	 0.222	 0.111	 0.111	 0.222	 0.444	 0.333	 0.278	 0.722	 0.611	 0.778	 0.778	 0.611	 0.722	 0.889	 0.944	 0.889	 0.500	 0.611	 0.556	 0.444	 0.444	 1.000	 0.722	 0.722	 0.667	 0.444	 0.444	 0.611	 0.722	 0.611	 0.556	 0.500	 0.833	 0.500	 0.389	 0.167	 0.444	 0.333	 0.611	 1.000	 0.722	 0.389	 0.444	 0.222	 0.167	 0.333	 0.500	 0.667	 0.222	 0.056	 0.000	 0.056	 0.000	 0.111	 0.167	 0.111	 0.000	
0.158	 0.421	 0.263	 0.158	 0.211	 0.316	 0.368	 0.211	 0.263	 0.421	 0.474	 0.684	 0.368	 0.684	 0.579	 0.737	 0.947	 0.737	 0.947	 0.474	 0.737	 1.000	 0.526	 0.632	 0.526	 0.895	 0.316	 0.474	 0.895	 0.684	 0.421	 0.316	 0.474	 0.368	 0.579	 0.211	 0.579	 0.737	 0.632	 0.737	 0.421	 0.526	 0.579	 0.263	 0.474	 0.526	 0.316	 0.421	 0.526	 0.421	 0.579	 0.474	 0.368	 0.368	 0.421	 0.368	 0.368	 0.368	 0.105	 0.316	 0.000	
0.286	 0.000	 0.143	 0.143	 0.429	 0.571	 0.429	 0.143	 0.143	 0.286	 0.000	 0.429	 0.286	 0.286	 0.286	 0.571	 0.857	 0.571	 0.571	 1.000	 0.429	 0.714	 0.571	 0.571	 0.429	 0.286	 0.571	 0.714	 0.857	 0.429	 0.857	 0.143	 0.429	 0.286	 0.571	 0.286	 0.286	 0.143	 0.143	 0.143	 0.143	 0.000	 0.286	 0.714	 0.571	 0.286	 0.143	 0.429	 0.143	 0.286	 0.143	 0.429	 0.286	 0.000	 0.286	 0.286	 0.143	 0.286	 0.286	 0.286	 0.000	
0.333	 0.250	 0.250	 0.250	 0.250	 0.000	 0.417	 0.333	 0.333	 0.417	 0.167	 0.167	 0.167	 0.250	 0.917	 0.417	 0.333	 0.917	 0.750	 0.917	 1.000	 0.583	 0.583	 0.167	 0.667	 0.500	 0.583	 0.917	 0.750	 0.417	 0.500	 0.333	 0.500	 0.500	 0.833	 0.417	 0.833	 0.583	 0.250	 0.500	 0.500	 0.333	 0.667	 0.333	 0.083	 0.333	 0.333	 0.417	 0.250	 0.583	 0.833	 0.417	 0.250	 0.417	 0.333	 0.083	 0.083	 0.000	 0.000	 0.000	 0.000	
0.200	 0.200	 0.133	 0.267	 0.533	 0.467	 0.200	 0.467	 0.267	 0.200	 0.267	 0.200	 0.267	 0.933	 1.000	 0.533	 0.667	 0.600	 0.800	 0.600	 0.667	 0.333	 0.200	 0.267	 0.467	 0.667	 0.733	 0.667	 0.533	 0.467	 0.600	 0.400	 0.667	 0.867	 0.800	 0.533	 0.400	 0.133	 0.333	 0.600	 0.600	 0.733	 1.000	 0.600	 0.267	 0.333	 0.267	 0.400	 0.667	 0.600	 0.533	 0.467	 0.200	 0.200	 0.267	 0.000	 0.067	 0.200	 0.067	 0.200	 0.000	
0.040	 0.000	 0.000	 0.040	 0.040	 0.040	 0.000	 0.000	 0.080	 0.040	 0.120	 0.080	 0.280	 0.320	 0.360	 0.240	 0.120	 0.640	 1.000	 0.640	 0.120	 0.200	 0.440	 0.160	 0.160	 0.680	 0.880	 0.440	 0.320	 0.280	 0.240	 0.080	 0.080	 0.440	 0.800	 0.840	 0.520	 0.160	 0.200	 0.120	 0.040	 0.720	 0.760	 0.600	 0.520	 0.200	 0.560	 0.200	 0.080	 0.440	 0.880	 0.560	 0.120	 0.200	 0.080	 0.040	 0.040	 0.080	 0.000	 0.040	 0.000	
0.125	 0.000	 0.125	 0.125	 0.063	 0.188	 0.125	 0.250	 0.125	 0.000	 0.063	 0.188	 0.125	 0.813	 0.813	 0.813	 0.563	 0.375	 1.000	 0.625	 0.688	 0.625	 0.688	 0.375	 0.313	 0.375	 0.563	 0.688	 0.938	 0.625	 0.688	 0.375	 0.563	 0.625	 0.313	 0.688	 0.563	 0.500	 0.438	 0.688	 0.688	 0.500	 0.625	 0.375	 0.625	 0.938	 0.625	 0.500	 0.688	 0.625	 0.500	 0.500	 0.500	 0.063	 0.188	 0.188	 0.188	 0.000	 0.063	 0.125	 0.000	
0.100	 0.250	 0.100	 0.350	 0.250	 0.350	 0.250	 0.250	 0.200	 0.450	 0.400	 0.600	 0.550	 0.850	 0.900	 1.000	 0.800	 0.600	 0.700	 0.750	 0.600	 0.600	 0.850	 0.850	 0.650	 0.600	 0.750	 0.750	 0.800	 0.600	 0.850	 0.650	 0.300	 0.350	 0.400	 0.450	 0.450	 0.500	 0.650	 0.600	 0.400	 0.550	 0.700	 0.600	 0.550	 0.450	 0.900	 0.650	 0.600	 0.400	 0.600	 0.450	 0.400	 0.500	 0.600	 0.200	 0.250	 0.250	 0.050	 0.050	 0.000	
0.043	 0.130	 0.304	 0.043	 0.130	 0.000	 0.217	 0.043	 0.174	 0.043	 0.000	 0.087	 0.565	 1.000	 0.739	 0.652	 0.696	 0.826	 0.739	 0.696	 0.609	 0.696	 0.435	 0.435	 0.391	 0.609	 0.565	 0.565	 0.435	 0.522	 0.609	 0.391	 0.217	 0.739	 0.391	 0.435	 0.565	 0.696	 0.696	 0.478	 0.522	 0.435	 0.391	 0.609	 0.348	 0.696	 0.522	 0.348	 0.565	 0.304	 0.348	 0.565	 0.217	 0.087	 0.261	 0.087	 0.043	 0.130	 0.087	 0.043	 0.000	
0.000	 0.000	 0.000	 0.143	 0.000	 0.429	 0.000	 0.143	 0.429	 0.143	 0.000	 0.143	 0.571	 0.429	 0.429	 0.286	 1.000	 0.571	 0.857	 0.571	 0.429	 0.571	 0.429	 0.143	 0.143	 0.286	 0.571	 0.143	 0.857	 0.714	 0.429	 0.857	 0.429	 0.000	 0.429	 0.429	 0.429	 0.143	 0.143	 0.000	 0.143	 0.143	 0.143	 0.143	 0.143	 0.286	 0.714	 0.429	 0.714	 0.143	 0.286	 0.286	 0.429	 0.143	 0.286	 0.000	 0.286	 0.143	 0.143	 0.286	 0.000	
0.059	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.176	 0.059	 0.588	 0.765	 0.588	 0.941	 0.941	 0.412	 0.765	 0.941	 0.412	 0.353	 0.412	 0.941	 0.412	 0.176	 0.471	 1.000	 0.412	 0.118	 0.294	 0.882	 0.471	 0.294	 0.765	 0.882	 0.647	 0.353	 0.765	 0.941	 0.882	 0.118	 0.765	 0.882	 0.647	 0.353	 0.529	 0.471	 0.471	 0.353	 0.529	 0.647	 0.647	 0.059	 0.059	 0.000	 0.000	 0.000	 0.176	 0.000	 0.000	
0.100	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.100	 0.000	 0.000	 0.000	 0.600	 0.700	 0.800	 1.000	 0.700	 0.600	 0.600	 0.300	 0.500	 0.600	 1.000	 0.500	 0.500	 0.600	 0.700	 0.800	 0.900	 0.300	 0.300	 0.600	 0.800	 0.800	 0.800	 0.400	 0.500	 1.000	 0.900	 0.700	 0.400	 0.300	 0.300	 0.800	 0.700	 0.500	 0.200	 0.300	 0.600	 0.800	 0.600	 0.400	 0.500	 0.000	 0.000	 0.000	 0.000	 0.000	 0.100	 0.200	 0.000	
0.250	 0.375	 0.125	 0.188	 0.188	 0.313	 0.313	 0.063	 0.125	 0.125	 0.313	 0.188	 0.125	 1.000	 0.563	 0.688	 0.313	 0.563	 0.375	 0.500	 0.438	 0.313	 0.625	 0.563	 0.813	 0.938	 0.938	 0.688	 0.688	 0.438	 0.563	 0.125	 0.250	 0.250	 0.000	 0.250	 0.000	 0.438	 0.188	 0.688	 0.625	 0.500	 0.625	 0.938	 0.563	 0.625	 0.563	 0.438	 0.438	 0.250	 0.313	 0.188	 0.188	 0.063	 0.250	 0.250	 0.125	 0.000	 0.000	 0.063	 0.000	
