FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	
m70201c3r1.htb	 360.0	  0.03	 2.000	  0.00	  0.00	 40.00	  6.95	 -8.21	 240.00	 12.50	 -24.46	 21.24	  0.00		  0.00		 19.206	
m70202c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.80	  2.67	 67.18	 98.19	 -3.38	 -22.26	  0.00		  0.00		 0.684	
m70202c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	 10.25	 -18.39	 93.07	 10.41	 -30.00	 22.09	  0.00		  0.00		 8.943	
m70202c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  7.98	  4.96	 68.61	 92.63	 10.08	 -10.16	  0.00		  0.00		 0.741	
m70202c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  6.40	 -4.36	 240.00	 32.12	 -19.12	 21.70	  0.00		  0.00		 7.472	
m70202c5r1.htb	  60.0	  0.03	 2.000	  0.00	  0.00	 40.00	 14.22	  1.98	  6.00	 10.03	 27.80	 29.74	  0.00		  0.00		 0.598	
m70205c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 11.46	 10.14	 89.92	 49.11	 11.45	 -11.38	  0.00		  0.00		 1.831	
m70205c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 14.16	  8.05	 100.36	 47.40	 -6.30	 -4.64	  0.00		  0.00		 2.117	
m70205c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  7.32	  8.88	 56.78	 31.85	 -5.03	 -6.20	  0.00		  0.00		 1.783	
m70207c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.90	  1.06	 37.97	 49.02	 -6.70	 -15.50	  0.00		  0.00		 0.775	
m70207c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.61	  0.76	  6.99	  8.81	 30.00	 29.46	  0.00		  0.00		 0.793	
m70208c1r1.htb	 360.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.89	  5.47	 31.66	  6.03	 -7.52	 -26.48	  0.00		  0.00		 5.247	
m70208c2r1.htb	 360.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.25	 -4.35	 152.24	 12.97	 -28.01	 19.76	  0.00		  0.00		 11.737	
m70208c3r1.htb	 300.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.84	 -2.19	 240.00	 36.83	 -30.00	 26.78	  0.00		  0.00		 6.516	
m70208c4r1.htb	 300.0	  0.03	 2.000	  0.00	  0.00	 40.00	 10.13	  9.81	 115.14	 90.25	 -11.89	 -12.80	  0.00		  0.00		 1.276	
m70208c5r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  6.64	  6.01	 61.18	 37.31	  2.30	 -8.51	  0.00		  0.00		 1.640	
m70209c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.24	  7.97	 109.49	 60.05	 -6.71	 -16.88	  0.00		  0.00		 1.823	
m70209c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  7.19	  4.50	 42.15	 29.94	 -5.50	 -13.08	  0.00		  0.00		 1.408	
m70212c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.91	 -1.15	 128.79	  8.01	 25.86	 28.18	  0.00		  0.00		 16.068	
m70212c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.59	  2.93	 37.27	 27.22	  8.60	 -16.97	  0.00		  0.00		 1.369	
m70212c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.97	 -1.47	 194.68	 35.94	 -30.00	 21.92	  0.00		  0.00		 5.417	
m70212c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.51	 -1.96	 14.50	 24.04	 -29.63	  6.82	  0.00		  0.00		 0.603	
m70213c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.01	  3.17	 44.14	 43.48	 -8.89	 -8.13	  0.00		  0.00		 1.015	
m70216c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.20	  3.72	 33.52	 55.20	  7.96	 -10.19	  0.00		  0.00		 0.607	
m70219c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.00	  3.42	 51.56	 29.74	 12.06	 -2.10	  0.00		  0.00		 1.734	
m70221c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.02	  3.06	 103.42	 104.81	 -3.46	 -13.38	  0.00		  0.00		 0.987	
m70221c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.75	  2.05	 10.42	 16.65	 -9.33	  0.55	  0.00		  0.00		 0.626	
m70222c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 45.00	  2.42	 -2.20	 22.40	 21.96	 32.83	 33.41	  0.00		  0.00		 1.020	
m70222c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 50.00	  2.68	 -1.35	 10.70	  7.99	 37.50	 37.16	  0.00		  0.00		 1.338	
m70222c3r1.htb	 300.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.25	  2.87	 78.73	 12.68	  0.97	 -18.92	  0.00		  0.00		 6.207	
m70222c4r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.16	  3.68	 97.91	 98.36	  8.49	 -30.00	  0.00		  0.00		 0.995	
m70223c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.41	  1.51	 79.73	 71.20	  7.35	  4.93	  0.00		  0.00		 1.120	
m70223c2r1.htb	   0.0	  0.05	 2.000	  0.00	  0.00	 50.00	  3.50	  4.67	 74.22	 36.01	  0.68	 13.33	  0.00		  0.00		 2.061	
m70223c3r1.htb	   0.0	  0.05	 2.000	  0.00	  0.00	 40.00	  2.13	 -1.25	 37.23	 22.36	 -19.54	 -28.38	  0.00		  0.00		 1.665	
m70226c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.01	  0.46	 56.16	 32.06	 -9.93	 -0.62	  0.00		  0.00		 1.752	
m70226c2r1.htb	 120.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.41	  3.20	 178.69	 83.72	 30.00	 -10.57	  0.00		  0.00		 2.134	
m70226c3r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.50	  3.66	 225.82	 55.44	 30.00	 -8.91	  0.00		  0.00		 4.073	
m70306c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.67	  3.88	 13.03	  6.06	  1.50	  9.90	  0.00		  0.00		 2.151	
m70306c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.35	 -3.30	 174.75	 15.42	 -30.00	 23.04	  0.00		  0.00		 11.329	
m70306c3r1.htb	 240.0	  0.03	 2.000	  0.00	  0.00	 100.00	  3.72	 26.64	 56.98	 51.67	 12.72	 -5.46	  0.00		  0.00		 1.103	
m70308c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.71	 12.10	 240.00	 45.79	 30.00	 -10.53	  0.00		  0.00		 5.242	
m70308c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 50.00	  2.94	  9.38	 66.05	 45.42	 -4.74	 -5.88	  0.00		  0.00		 1.454	
