FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Onset	 AvgPulseTime	 PulseTimeStdev	 RedFlag	
m60301c3r2.htb	  30.0	  0.03	 2.000	 10.00	 -5.00	 40.00	   1.0	 0.1930	 996.0000		 0.0000	   0.0	
m60301c4r2.htb	  30.0	  0.03	 4.000	 20.00	 -10.00	 50.00	   0.0	 0.1140	 996.0000		 0.0000	   1.0	
m60301c4r2.htb	  30.0	  0.03	 4.000	 20.00	 -10.00	 50.00	   1.0	 0.0960	 996.0000		 0.0000	   0.0	
m60302c1r2.htb	  30.0	  0.03	 2.000	  0.00	 -2.00	 50.00	   0.0	 0.1380	 996.0000		 0.0000	   0.0	
m60302c1r2.htb	  30.0	  0.03	 2.000	  0.00	 -2.00	 50.00	   1.0	 2.0010	 996.0000		 0.0000	   1.0	
m60302c2r2.htb	  30.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.1140	 996.0000		 0.0000	   0.0	
m60302c2r2.htb	  30.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 0.1080	 996.0000		 0.0000	   0.0	
m60302c3r2.htb	  30.0	  0.05	 4.000	 -5.00	 -5.00	 60.00	   0.0	 0.2100	 996.0000		 0.0000	   1.0	
m60302c3r2.htb	  30.0	  0.05	 4.000	 -5.00	 -5.00	 60.00	   1.0	 0.6700	 996.0000		 0.0000	   1.0	
m60302c4r2.htb	  30.0	  0.03	 4.000	 -5.00	  0.00	 50.00	   0.0	 0.1560	 996.0000		 0.0000	   0.0	
m60302c4r2.htb	  30.0	  0.03	 4.000	 -5.00	  0.00	 50.00	   1.0	 0.1300	 996.0000		 0.0000	   1.0	
m60404c3r2.htb	   0.0	  0.03	 2.000	 10.00	 10.00	 30.00	   0.0	 0.1830	 996.0000		 0.0000	   1.0	
m60404c3r2.htb	   0.0	  0.03	 2.000	 10.00	 10.00	 30.00	   1.0	 0.1560	 996.0000		 0.0000	   1.0	
m60404c4r2.htb	   0.0	  0.03	 1.000	 10.00	  5.00	 40.00	   0.0	 0.1030	 996.0000		 0.0000	   0.0	
