FILE			 25		 20		 15		 10	
m70723c1r2.htb	 0.10400	 0.12100	 0.14500	 0.18100	
m70723c1r12.htb	 0.02800	 0.03100	 0.03400	 0.03900	
m70523c2r2.htb	 0.59800	 0.70400	 0.83700	 1.00900	
m70523c3r2.htb	 0.00200	 0.00200	 0.00200	 0.00200	
m70524c1r2.htb	 0.13000	 0.15300	 0.18500	 0.23500	
m70524c3r2.htb	 0.02300	 0.02500	 0.02800	 0.03200	
m70525c1r2.htb	 0.21500	 0.24800	 0.29200	 0.35900	
m70529c1r2.htb	 0.02900	 0.03200	 0.03500	 0.04000	
m70529c2r2.htb	 0.05800	 0.06600	 0.07600	 0.09100	
m70529c3r2.htb	 0.02600	 0.02900	 0.03200	 0.03700	
m70530c1r2.htb	 0.03800	 0.04300	 0.04800	 0.05600	
m70601c1r2.htb	 0.04800	 0.05400	 0.06100	 0.07100	
m70601c1r10.htb	 0.10400	 0.11700	 0.13300	 0.15800	
m70605c1r2.htb	 0.06400	 0.07300	 0.08500	 0.10200	
m70607c1r2.htb	 0.04600	 0.05100	 0.05900	 0.06900	
m70607c2r2.htb	 0.04300	 0.04800	 0.05400	 0.06300	
m70607c3r2.htb	 0.08900	 0.10100	 0.11700	 0.13900	
m70608c1r2.htb	 0.11100	 0.12900	 0.15500	 0.19400	
m70608c1r10.htb	 0.08300	 0.09500	 0.11200	 0.13800	
m70608c1r12.htb	 0.02200	 0.02400	 0.02700	 0.03000	
m70609c1r2.htb	 0.09800	 0.11100	 0.12800	 0.15300	
m70609c1r12.htb	 0.30700	 0.37400	 0.46900	 0.61500	
m70609c2r2.htb	 0.08100	 0.09100	 0.10500	 0.12400	
m70609c2r12.htb	 0.01900	 0.02100	 0.02300	 0.02600	
m70611c2r2.htb	 0.10900	 0.12600	 0.14900	 0.18300	
m70611c1r2.htb	 0.10800	 0.12300	 0.14200	 0.16900	
m70611c1r12.htb	 0.20300	 0.24500	 0.30300	 0.39700	
m70612c1r2.htb	 0.27900	 0.34000	 0.42600	 0.56000	
m70612c1r12.htb	 0.25300	 0.30700	 0.38300	 0.50400	
m70612c2r2.htb	 0.21500	 0.25900	 0.32200	 0.42200	
m70612c2r12.htb	 0.21700	 0.26200	 0.32600	 0.42700	
m70613c2r2.htb	 0.18400	 0.21300	 0.25400	 0.31500	
m70613c2r12.htb	 0.09800	 0.11000	 0.12500	 0.14700	
m70613c1r2.htb	 0.08800	 0.09900	 0.11300	 0.13200	
m70613c1r12.htb	 0.06300	 0.07000	 0.08000	 0.09200	
m70618c1r2.htb	 0.09500	 0.11100	 0.13100	 0.16300	
m70618c1r12.htb	 0.27600	 0.33300	 0.41300	 0.53700	
m70619c1r2.htb	 0.12000	 0.14100	 0.17000	 0.21400	
m70619c1r12.htb	 0.00200	 0.00200	 0.00200	 0.00200	
m70621c1r2.htb	 0.09000	 0.10400	 0.12300	 0.15100	
m70621c2r2.htb	 0.33700	 0.41100	 0.51400	 0.67100	
m70621c2r12.htb	 0.08600	 0.09900	 0.11700	 0.14400	
m70622c1r2.htb	 0.03800	 0.04300	 0.04800	 0.05600	
m70622c1r12.htb	 0.01800	 0.01900	 0.02100	 0.02400	
m70625c1r2.htb	 0.04900	 0.05500	 0.06300	 0.07500	
m70625c1r12.htb	 0.10400	 0.12200	 0.14500	 0.18100	
m70625c2r2.htb	 0.04800	 0.05500	 0.06300	 0.07400	
m70625c2r12.htb	 0.09000	 0.10300	 0.12100	 0.14700	
m70626c1r2.htb	 0.10300	 0.11200	 0.12200	 0.13500	
