FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	 rotation_from_horizontal	
m30216c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.40	  0.68	 30.59	 65.84	  4.80	 -30.00	  0.00		  0.00		  0.46		  0.00		
m30216c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.40	  0.68	 30.59	 65.84	  4.80	 -30.00	  0.00		  0.00		  0.46		  0.00		
m30416c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.73	 -0.53	  3.79	  3.89	 -9.71	 -9.54	  0.00		  0.00		  0.97		 -0.00		
m30716c2r3.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.03	  6.44	 16.84	 14.58	  4.84	 -12.49	  0.00		  0.00		  1.16		 -0.00		
m30716c3r1.htb	 180.0	  0.03	 2.000	  5.00	 -13.00	 40.00	  0.80	  1.33	 22.04	 18.90	  9.07	 -9.54	  5.00		 -13.00		  1.17		  0.00		
m30716c3r1.htb	 180.0	  0.03	 2.000	  5.00	 -13.00	 40.00	  0.80	  1.33	 22.04	 18.90	  9.07	 -9.54	  5.00		 -13.00		  1.17		  0.00		
m30216c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.40	  0.68	 30.59	 65.84	  4.80	 -30.00	  0.00		  0.00		  0.46		  0.00		
m30416c3r1.htb	 270.0	  0.03	 2.000	  0.00	  0.00	 40.00	  6.02	  4.61	  5.76	  6.53	 -8.32	 -1.69	  0.00		  0.00		  0.88		  0.00		
m30416c4r1.htb	 270.0	  0.03	 2.000	 16.00	  0.00	 40.00	  3.80	  3.65	 16.36	 27.83	  4.96	 -6.71	 16.00		  0.00		  0.59		 -0.00		
m30716c2r3.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.03	  6.44	 16.84	 14.58	  4.84	 -12.49	  0.00		  0.00		  1.16		 -0.00		
