FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	 rotation_from_horizontal	
m60815c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.39	  3.94	  6.14	 119.98	 -0.85	 -15.90	  0.00		  0.00		  0.05		  0.00		
m60815c11r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.42	  3.70	  5.64	 12.15	 -16.00	 -16.71	  0.00		  0.00		  0.46		  0.00		
m61015c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.19	 -4.91	 45.10	  5.41	 -30.00	 17.41	  0.00		  0.00		  8.33		  0.00		
m61015c3r11.htb	  60.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.14	 -0.37	  8.39	 10.16	 -18.44	 20.50	  0.00		  0.00		  0.83		  0.00		
m61015c3r1.htb	  60.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.14	 -0.62	  8.19	  6.54	 -17.36	 20.33	  0.00		  0.00		  1.25		  0.00		
m61015c3r11.htb	  60.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.14	 -0.64	  6.20	 10.64	 -19.17	 20.56	  0.00		  0.00		  0.58		  0.00		
m61015c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.78	  0.90	 120.00	  8.95	 -8.73	  4.37	  0.00		  0.00		 13.40		  0.00		
m61115c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.46	  1.66	  8.06	  5.94	 -29.27	 -21.94	  0.00		  0.00		  1.36		 -0.00		
m61215c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.26	  2.05	  8.68	  7.53	  2.96	 -19.66	  0.00		  0.00		  1.15		 -0.00		
m61215c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.26	  2.05	  8.68	  7.53	  2.96	 -19.66	  0.00		  0.00		  1.15		 -0.00		
m61215c1r11.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.21	  1.54	  7.70	  9.02	  0.42	 -19.08	  0.00		  0.00		  0.85		  0.00		
m61215c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.33	 -1.07	 66.56	 119.92	 30.00	 -3.64	  0.00		  0.00		  0.55		  0.00		
m61215c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.46	  0.77	 16.85	 11.14	 12.86	 -29.98	  0.00		  0.00		  1.51		  0.00		
m61515c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.78	  2.61	  6.50	  6.73	 -5.77	  1.25	  0.00		  0.00		  0.96		  0.00		
m61515c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.78	  2.61	  6.50	  6.73	 -5.77	  1.25	  0.00		  0.00		  0.97		  0.00		
m61515c2r11.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.84	  1.83	  6.23	 25.72	 -0.53	 -16.63	  0.00		  0.00		  0.24		 -0.00		
