FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Spont	 SI		 AnovaP	 SDI		 VarTerm	 MaxX 	 MinX 	 RsqMn	 PMean	 RsqRaw	 Praw		 ErfChi2	 ErfChiP	 DiffErfChi2	 DiffErfChiP	 Ke		 a		 Ki			 b+a		 DC_off	 Halfmax_slope	 F_SI	 P_SI	
m60112c1r6.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 30.00	   0.0	 7.6285	  0.00	 0.0000	  0.77	  0.46	 64.000	 1.00000000	 0.909	  0.000	  0.91	  0.00	  0.2906	 0.9904	 0.28932493		 0.8653	 25.09494424	 22.2378	 1.62597040	 25.34	  2.88	 1.0959	 0.9610	 0.3926	 
m60112c1r6.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 30.00	   1.0	 7.6285	  0.16	 0.0000	  0.71	  0.57	 64.000	 1.00000000	 0.833	  0.000	  0.83	  0.00	  1.1423	 0.8875	 0.13815165		 0.9333	 38.01135774	 30.8167	 37.30900969	 125.84	  4.58	 0.9850	 0.9610	 0.3926	 
m60117c1r7.htb	  90.0	  0.03	 4.000	  0.00	  0.00	 30.00	   0.0	 7.9602	  0.00	 0.0000	  0.71	  0.42	 64.000	 1.00000000	 0.714	  0.000	  0.71	  0.00	  2.3233	 0.6765	 2.32331491		 0.3130	 13.90149685	 46.7240	 0.00000000	 49.74	  6.16	 0.3121	 -0.0000	 1.0000	 
m60117c1r7.htb	  90.0	  0.03	 4.000	  0.00	  0.00	 30.00	   1.0	 7.9602	  0.00	 0.0001	  0.64	  0.59	 64.000	 1.00000000	 0.700	  0.000	  0.70	  0.00	  0.4465	 0.9785	 0.44653543		 0.7999	 24.28334472	 100.0000	 0.00000000	 105.17	  7.78	 0.2659	 -0.0000	 1.0000	 
m60119c1r7.htb	  30.0	  0.03	 6.000	  0.00	  0.00	 60.00	   0.0	 4.2644	  0.00	 0.0007	  0.54	  0.60	 64.000	 1.00000000	 0.385	  0.000	  0.39	  0.00	  0.8854	 0.9266	 0.88539368		 0.6423	 9.87506280	 100.0000	 0.00000000	 113.21	  4.58	 0.1081	 0.0000	 1.0000	 
m60119c1r7.htb	  30.0	  0.03	 6.000	  0.00	  0.00	 60.00	   1.0	 4.2644	  0.00	 0.0052	  0.51	  0.49	 64.000	 1.00000000	 0.327	  0.000	  0.33	  0.00	  0.3237	 0.9882	 0.32372382		 0.8506	 7.94027560	 100.0000	 0.00000000	 141.65	  6.25	 0.0870	 0.0000	 1.0000	 
m60119c2r9.htb	  30.0	  0.03	 6.000	  0.00	 10.00	 40.00	   0.0	 10.1635	  0.00	 0.0044	  0.51	  0.97	 64.000	 1.00000000	 0.330	  0.000	  0.33	  0.00	  0.4275	 0.9802	 0.42755078		 0.8075	 15.53606910	 66.3623	 0.00127631	 67.43	  8.79	 0.2505	 0.0000	 1.0000	 
m60119c2r9.htb	  30.0	  0.03	 6.000	  0.00	 10.00	 40.00	   1.0	 10.1635	  0.00	 0.0000	  0.54	  0.90	 64.000	 1.00000000	 0.495	  0.000	  0.49	  0.00	  0.4845	 0.9750	 0.48455228		 0.7848	 21.10650210	 60.7581	 0.00000000	 62.23	  7.29	 0.3697	 0.0000	 1.0000	 
m60124c1r9.htb	   0.0	  0.03	 2.000	  0.00	 10.00	 70.00	   0.0	 6.1123	  0.00	 0.0000	  0.64	  0.54	 64.000	 1.00000000	 0.605	  0.000	  0.60	  0.00	  1.8833	 0.7572	 1.88321961		 0.3900	 16.51428992	 97.5192	 0.20543378	 110.53	  5.58	 0.1832	 0.0000	 1.0000	 
m60124c1r9.htb	   0.0	  0.03	 2.000	  0.00	 10.00	 70.00	   1.0	 6.1123	  0.00	 0.0000	  0.65	  0.39	 64.000	 1.00000000	 0.601	  0.000	  0.60	  0.00	  2.2644	 0.6873	 2.26435251		 0.3223	 8.16667236	 35.0514	 0.00000000	 35.85	  5.80	 0.2420	 0.0000	 1.0000	 
