FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Onset	 AvgPulseTime	 PulseTimeStdev	 RedFlag	
m60413c4r2.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   0.0	 0.1120	 996.0000		 0.0000	   0.0	
m60413c4r2.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   1.0	 0.3270	 996.0000		 0.0000	   0.0	
m60413c5r2.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   0.0	 0.1470	 996.0000		 0.0000	   0.0	
m60413c5r2.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   1.0	 0.1130	 996.0000		 0.0000	   0.0	
m60414c2r2.htb	 250.0	  0.05	 2.000	  0.00	 -8.00	 40.00	   0.0	 0.1180	 996.0000		 0.0000	   0.0	
m60414c2r2.htb	 250.0	  0.05	 2.000	  0.00	 -8.00	 40.00	   1.0	 0.1120	 996.0000		 0.0000	   0.0	
m60418c1r2.htb	 180.0	  0.03	 2.000	 -5.00	 -10.00	 50.00	   0.0	 0.1760	 996.0000		 0.0000	   1.0	
m60418c1r2.htb	 180.0	  0.03	 2.000	 -5.00	 -10.00	 50.00	   1.0	 0.2120	 996.0000		 0.0000	   0.0	
m60420c1r2.htb	   0.0	  0.03	 2.000	 -10.00	 10.00	 40.00	   0.0	 0.1260	 996.0000		 0.0000	   1.0	
m60420c1r2.htb	   0.0	  0.03	 2.000	 -10.00	 10.00	 40.00	   1.0	 0.1140	 996.0000		 0.0000	   1.0	
m60421c1r2.htb	   0.0	  0.03	 2.000	  8.00	 -10.00	 40.00	   0.0	 0.1350	 996.0000		 0.0000	   1.0	
m60421c1r2.htb	   0.0	  0.03	 2.000	  8.00	 -10.00	 40.00	   1.0	 0.1350	 996.0000		 0.0000	   0.0	
m60421c2r2.htb	   0.0	  0.03	 2.000	 18.00	 -10.00	 40.00	   0.0	 0.1480	 996.0000		 0.0000	   0.0	
m60421c2r2.htb	   0.0	  0.03	 2.000	 18.00	 -10.00	 40.00	   1.0	 0.1430	 996.0000		 0.0000	   0.0	
m60421c3r2.htb	   0.0	  0.03	 2.000	 10.00	  5.00	 40.00	   0.0	 0.1610	 996.0000		 0.0000	   1.0	
m60421c3r2.htb	   0.0	  0.03	 2.000	 10.00	  5.00	 40.00	   1.0	 0.1290	 996.0000		 0.0000	   1.0	
m60424c3r2.htb	   0.0	  0.03	 2.000	 10.00	  0.00	 40.00	   0.0	 0.1100	 996.0000		 0.0000	   0.0	
m60424c3r2.htb	   0.0	  0.03	 2.000	 10.00	  0.00	 40.00	   1.0	 0.0940	 996.0000		 0.0000	   0.0	
m60424c4r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	   0.0	 0.1060	 996.0000		 0.0000	   1.0	
m60424c4r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	   1.0	 0.1080	 996.0000		 0.0000	   0.0	
m60424c5r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1230	 996.0000		 0.0000	   0.0	
m60424c5r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.0810	 996.0000		 0.0000	   0.0	
m60518c1r2.htb	   0.0	  0.03	 2.000	  8.00	 -10.00	 40.00	   0.0	 0.1430	 996.0000		 0.0000	   0.0	
m60518c1r2.htb	   0.0	  0.03	 2.000	  8.00	 -10.00	 40.00	   1.0	 0.1430	 996.0000		 0.0000	   0.0	
m60519c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.1130	 996.0000		 0.0000	   0.0	
m60519c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 0.1200	 996.0000		 0.0000	   0.0	
m60519c2r2.htb	   0.0	  0.03	 2.000	  5.00	  0.00	 30.00	   0.0	 0.1220	 996.0000		 0.0000	   0.0	
m60519c2r2.htb	   0.0	  0.03	 2.000	  5.00	  0.00	 30.00	   1.0	 0.1040	 996.0000		 0.0000	   0.0	
m60519c4r2.htb	   0.0	  0.03	 2.000	  5.00	  0.00	 30.00	   0.0	 0.1040	 996.0000		 0.0000	   1.0	
