FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Onset	 AvgPulseTime	 PulseTimeStdev	 RedFlag	
m60420c3r2.htb	   0.0	  0.03	 2.000	 -5.00	  5.00	 40.00	   0.0	 0.1910	 996.0000		 0.0000	   1.0	
m60420c3r2.htb	   0.0	  0.03	 2.000	 -5.00	  5.00	 40.00	   1.0	 0.1300	 996.0000		 0.0000	   0.0	
m60420c4r2.htb	   0.0	  0.03	 2.000	 10.00	 -8.00	 40.00	   0.0	 0.1570	 996.0000		 0.0000	   0.0	
m60420c4r2.htb	   0.0	  0.03	 2.000	 10.00	 -8.00	 40.00	   1.0	 0.1170	 996.0000		 0.0000	   0.0	
m60420c5r2.htb	   0.0	  0.03	 2.000	  8.00	 -5.00	 40.00	   0.0	 0.2540	 996.0000		 0.0000	   1.0	
m60420c5r2.htb	   0.0	  0.03	 2.000	  8.00	 -5.00	 40.00	   1.0	 0.2850	 996.0000		 0.0000	   1.0	
m60424c6r2.htb	   0.0	  0.03	 2.000	 -5.00	 -5.00	 30.00	   0.0	 0.1030	 996.0000		 0.0000	   0.0	
m60424c6r2.htb	   0.0	  0.03	 2.000	 -5.00	 -5.00	 30.00	   1.0	 0.1000	 996.0000		 0.0000	   0.0	
m60515c4r2.htb	   0.0	  0.03	 2.000	 -10.00	 10.00	 40.00	   0.0	 0.1260	 996.0000		 0.0000	   1.0	
m60515c4r2.htb	   0.0	  0.03	 2.000	 -10.00	 10.00	 40.00	   1.0	 0.1140	 996.0000		 0.0000	   1.0	
m60518c3r2.htb	   0.0	  0.03	 2.000	 10.00	  5.00	 40.00	   0.0	 0.1140	 996.0000		 0.0000	   0.0	
m60518c3r2.htb	   0.0	  0.03	 2.000	 10.00	  5.00	 40.00	   1.0	 0.1110	 996.0000		 0.0000	   0.0	
m60518c4r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.2560	 996.0000		 0.0000	   1.0	
m60518c4r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 0.2440	 996.0000		 0.0000	   0.0	
m60524c6r2.htb	   0.0	  0.03	 2.000	 -12.00	 -8.00	 40.00	   0.0	 0.2810	 996.0000		 0.0000	   0.0	
m60524c6r2.htb	   0.0	  0.03	 2.000	 -12.00	 -8.00	 40.00	   1.0	 0.1640	 996.0000		 0.0000	   1.0	
m60629c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   0.0	 0.1280	 996.0000		 0.0000	   0.0	
m60629c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   1.0	 0.1210	 996.0000		 0.0000	   0.0	
m60629c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.2810	 996.0000		 0.0000	   1.0	
