FILE		       PrDir	 PrSpd	 PrHDsp	 RFX	       RFY	      RFDiam	 ZerSpd	 ZerRsp	 MaxSpd	 MaxRsp	 MinSpd	 MinRsp	 Spont	 SpdMI	 AnovaP	 Rmeans	 Pmeans	  Rraw	 Praw		 SDI	       VarTrm	  R0	         K	       alpha	tau		 expon	Chi2		 ChiP		  Npts	   Npars	 FitErr	
m60726c4r8.htb	    0.0	  20.00	  0.000	   3.00	  -5.00	  40.00	   0.0	  11.79	  4.700	  13.18	 64.000	   4.85	   3.78	  0.638	 0.00000020	  0.963	 0.00000280	  0.409	 0.00000000	 0.6154	  0.491	   1.39	  11.80	  0.0266249	 -0.5888889	  0.1407624	  0.30174	 0.98970168	     90	      5	 19.9828	
m60726c5r8.htb	    0.0	  20.00	  0.000	  -5.00	   0.00	  40.00	   0.0	   2.62	 19.200	   3.35	  0.500	   2.30	   0.60	  0.459	 0.20643231	  0.559	 0.02055862	  0.046	 0.01299416	 0.3591	  0.496	   2.30	   1.06	  0.0253814	  0.5000017	  0.4741314	  0.22562	 0.99412242	    134	      5	 31.9116	
m60726c6r8.htb	    0.0	  20.00	  0.000	   0.00	   0.00	  40.00	   0.0	   2.89	 20.450	   5.13	  0.000	   2.61	   0.13	  0.494	 0.04896217	  0.908	 0.00007073	  0.103	 0.00014409	 0.3518	  0.642	   0.90	   4.23	  0.0170033	 -0.6413503	  0.3589500	  0.09637	 0.99887582	    135	      5	 52.3946	
m60727c1r8.htb	    0.0	  20.00	  0.000	   0.00	  -5.00	  40.00	   0.0	   5.57	 24.000	   8.48	  0.000	   5.05	   1.29	  0.395	 0.00019905	  0.766	 0.00198391	  0.231	 0.00000159	 0.4512	  0.404	   3.41	   5.07	  0.0193409	 -0.9067786	  0.4813067	  0.91490	 0.92241341	     90	      5	 14.5265	
m60727c2r8.htb	    0.0	  20.00	  0.000	   0.00	   0.00	  40.00	   0.0	   1.09	 64.000	   1.40	  0.000	   0.79	   0.40	  0.469	 0.80159286	  0.558	 0.02067647	  0.030	 0.10475763	 0.2796	  0.550	   0.79	   1.12	  0.1336371	  3.6153486	 11.4159754	  0.25819	 0.99235084	     90	      5	 25.1574	
m60801c2r8.htb	    0.0	  20.00	  0.000	   0.00	   0.00	  40.00	   0.0	  10.25	 11.250	  11.70	 64.000	   8.56	   7.06	  0.272	 0.33496942	  0.772	 0.00182847	  0.079	 0.00721971	 0.3068	  0.557	   6.85	   4.85	  0.0320315	 -0.9075673	  0.3892395	  0.29161	 0.99034928	     90	      5	 25.8782	
m60801c3r8.htb	    0.0	  20.00	  0.000	   0.00	 -10.00	  40.00	   0.0	  13.13	 17.500	  24.31	  0.000	  13.00	   8.51	  0.477	 0.00000002	  0.937	 0.00001853	  0.431	 0.00000000	 0.5701	  0.539	  19.61	   4.70	  0.0776724	  4.6346322	  0.9977040	  0.61038	 0.96190365	     90	      5	 24.9465	
m60803c1r8.htb	    0.0	  20.00	  0.000	   8.00	  -5.00	  40.00	   0.0	   4.18	 63.300	   5.94	  0.000	   3.94	   3.93	  0.354	 0.09799129	  0.624	 0.01131656	  0.092	 0.00361321	 0.3768	  0.444	   2.50	   3.43	  0.0023609	 -0.0675763	  0.1496364	  0.68872	 0.95271257	     90	      5	 17.0057	
m60803c3r8.htb	    0.0	  20.00	  0.000	   0.00	   0.00	  40.00	   0.0	   6.84	 64.000	  10.25	  0.000	   6.76	   5.03	  0.416	 0.01387965	  0.621	 0.01170825	  0.144	 0.00073298	 0.5137	  0.380	   3.00	   7.25	  0.0003765	 -0.0000000	  0.0269774	  1.18847	 0.87999320	     76	      5	 10.8615	
m60803c4r8.htb	  180.0	  20.00	  0.000	   0.00	   0.00	  40.00	   0.0	   7.06	 64.000	   9.98	  0.000	   5.98	   2.84	  0.488	 0.00195248	  0.795	 0.00123004	  0.201	 0.00000946	 0.5043	  0.456	   2.62	   7.61	  0.0015309	 -0.6486514	  0.1917381	  0.73532	 0.94690260	     90	      5	 18.0494	
m60808c1r8.htb	    0.0	  10.00	  0.000	   5.00	 -10.00	  40.00	   0.0	   1.36	 18.900	   2.39	  0.000	   1.07	   0.66	  0.663	 0.00003112	  0.645	 0.00915806	  0.152	 0.00000297	 0.4757	  0.421	   1.49	   0.90	  0.0590064	  2.4117109	  0.9742508	  0.87852	 0.92763044	    135	      5	 24.6672	
m60808c2r8.htb	    0.0	  10.00	  0.000	   0.00	   0.00	  40.00	   0.0	  14.18	  5.000	  20.33	  0.000	  14.06	  11.94	  0.282	 0.06770799	  0.813	 0.00088881	  0.130	 0.00048876	 0.4172	  0.472	  16.03	   4.30	  1.2425898	  0.9898506	  4.9998594	  0.21440	 0.99464890	     90	      5	 18.7719	
m60809c1r8.htb	    0.0	  20.00	  0.000	   0.00	  -5.00	  40.00	   0.0	   7.60	 64.000	  12.93	  0.000	   7.37	   4.01	  0.433	 0.00000337	  0.973	 0.00000100	  0.259	 0.00000000	 0.4859	  0.474	   5.72	   8.71	  0.0006695	 -0.0723072	  0.2234331	  0.11318	 0.99845782	    135	      5	 28.6405	
m60809c2r8.htb	    0.0	  20.00	  0.000	   0.00	  -5.00	  40.00	   0.0	   2.85	  5.100	   4.04	 64.000	   2.74	   1.63	  0.331	 0.04596130	  0.546	 0.02298926	  0.063	 0.00337798	 0.3111	  0.473	   2.74	   1.30	  0.6713007	 -3.1478000	  5.5476029	  0.84449	 0.93238611	    135	      5	 29.6413	
m60809c3r8.htb	    0.0	  20.00	  0.000	   5.00	   0.00	  40.00	   0.0	  12.69	 28.450	  15.51	  0.000	  12.29	   7.41	  0.239	 0.36899615	  0.831	 0.00061879	  0.082	 0.00630043	 0.3346	  0.509	  11.61	   3.90	  0.0341642	 -2.3515369	  1.0519610	  0.22473	 0.99414050	     90	      5	 21.3526	
m60809c4r8.htb	    0.0	  20.00	  0.000	  10.00	   2.00	  40.00	   0.0	   3.43	 44.150	  13.03	  0.000	   3.06	   3.43	  0.734	 0.00000000	  0.996	 0.00000000	  0.593	 0.00000000	 0.6031	  0.604	   0.00	  13.03	  0.0136592	 -1.7307928	  0.6264525	  0.05067	 0.99968447	     90	      5	 29.7304	
m60809c5r8.htb	    0.0	  20.00	  0.000	   0.00	   0.00	  40.00	   0.0	  10.35	 64.000	  18.42	  0.000	   8.54	   4.78	  0.509	 0.06810029	  0.861	 0.00031158	  0.137	 0.00032716	 0.3344	  1.466	   8.54	  16.12	  0.0013059	  0.0000054	  0.5062425	  0.17329	 0.99645639	     90	      5	 178.3056	
m60810c1r8.htb	    0.0	  20.00	  0.000	  10.00	  -5.00	  40.00	   0.0	  13.73	 20.000	  22.63	  0.000	  13.40	   2.79	  0.452	 0.00004807	  0.727	 0.00347568	  0.240	 0.00000095	 0.5323	  0.575	   5.61	  17.01	  0.0086404	 -0.0819666	  0.1734358	  2.15589	 0.70711183	     90	      5	 30.1180	
m60810c2r8.htb	    0.0	  20.00	  0.000	   0.00	   5.00	  40.00	   0.0	  15.07	 39.150	  28.29	  0.000	  14.27	   7.91	  0.464	 0.00000043	  0.947	 0.00001001	  0.391	 0.00000000	 0.5165	  0.677	   8.73	  19.55	  0.0081832	 -0.2936260	  0.3228905	  0.43582	 0.97944074	     90	      5	 38.7756	
m60810c3r8.htb	    0.0	  20.00	  0.000	   5.00	 -10.00	  40.00	   0.0	  18.21	 12.250	  31.75	  0.000	  17.55	  12.04	  0.445	 0.00000028	  0.909	 0.00006801	  0.382	 0.00000000	 0.5706	  0.575	  17.55	  14.20	  0.0287492	  0.0000000	  0.3517421	  1.01721	 0.90717499	     90	      5	 28.3915	
m60810c4r8.htb	    0.0	  20.00	  0.000	   5.00	  -5.00	  40.00	   0.0	   5.47	  4.050	   7.14	 64.000	   4.97	   3.83	  0.382	 0.02358824	  0.640	 0.00957942	  0.122	 0.00074823	 0.4255	  0.426	   4.97	   2.18	  0.5254039	  0.4402001	  1.8927951	  0.59821	 0.96327401	     90	      5	 16.0488	
m60810c5r8.htb	    0.0	  20.00	  0.000	  -5.00	 -10.00	  40.00	   0.0	  12.29	  2.250	  15.73	 14.900	  11.62	   6.82	  0.313	 0.05706296	  0.832	 0.00061187	  0.137	 0.00032954	 0.4240	  0.464	  11.62	   4.10	  8.7729754	 -9.1420771	 100.0000000 0.28010	 0.99106250	     90	      5	 17.9610	
m60811c1r8.htb	    0.0	  20.00	  0.000	   0.00	   0.00	  40.00	   0.0	   4.58	 53.450	  11.15	  0.000	   3.54	   1.04	  0.718	 0.00000000	  0.972	 0.00000102	  0.540	 0.00000000	 0.6129	  0.503	   2.27	   8.88	  0.0210390	 -4.7474011	  1.2242022	  0.49521	 0.97396579	     90	      5	 21.6335	
m60811c2r8.htb	    0.0	  20.00	  0.000	  -5.00	  -8.00	  40.00	   0.0	   5.67	 23.900	   9.17	  0.000	   5.17	   3.28	  0.459	 0.00000271	  0.913	 0.00005972	  0.349	 0.00000000	 0.5371	  0.348	   2.90	   6.27	  0.0143614	 -0.5001357	  0.3505043	  0.55185	 0.96826065	     90	      5	 10.4927	
m60811c3r8.htb	  120.0	  20.00	  0.000	   0.00	   5.00	  40.00	   0.0	   4.03	 64.000	   4.51	  0.500	   2.87	   1.54	  0.419	 0.18145142	  0.481	 0.03839658	  0.061	 0.01904324	 0.3686	  0.460	   2.59	   2.39	  0.0000526	  0.4999999	  0.0925451	  0.67194	 0.95474723	     90	      5	 18.5332	
m60811c4r8.htb	    0.0	  20.00	  0.000	   0.00	   0.00	  40.00	   0.0	  10.70	 32.400	  25.46	  0.000	   9.04	   1.79	  0.597	 0.00000000	  0.958	 0.00000447	  0.549	 0.00000000	 0.5768	  0.679	   3.67	  21.79	  0.0149365	 -0.7387772	  0.4951455	  0.79284	 0.93940524	     90	      5	 39.7116	
m60811c5r8.htb	    0.0	  20.00	  0.000	  10.00	   5.00	  40.00	   0.0	   0.90	 29.550	   1.12	  0.000	   0.54	   0.35	  0.577	 0.27708224	  0.646	 0.00904694	  0.071	 0.01089839	 0.3501	  0.389	   0.61	   0.51	  0.0259752	  1.0721778	  0.7397600	  0.20918	 0.99490274	     90	      5	 12.5355	
m60815c1r8.htb	  150.0	  20.00	  0.000	   8.00	 -10.00	  40.00	   0.0	   5.27	 30.650	   9.24	  0.000	   5.34	   1.99	  0.476	 0.01308856	  0.715	 0.00407451	  0.147	 0.00018841	 0.4295	  0.587	   4.31	   4.93	  0.0950941	 -20.0000000  4.8153116	  0.81059	 0.93702250	     90	      5	 30.1317	
m60815c2r8.htb	    0.0	  20.00	  0.000	  10.00	 -10.00	  40.00	   0.0	  16.92	  0.000	  16.84	 64.000	  16.10	  11.89	  0.114	 0.94981008	  0.192	 0.23824844	  0.006	 0.46240592	 0.1971	  0.523	  16.10	   1.30	  0.1663900	 -3.5800210	  0.0034218	  0.25387	 0.99259417	     90	      5	 22.7595	
m60815c4r8.htb	  180.0	  20.00	  0.000	  -5.00	   5.00	  60.00	   0.0	   6.77	 11.100	  10.94	 38.550	   6.76	   6.42	  0.329	 0.83618490	  0.260	 0.16062710	  0.013	 0.28888677	 0.2828	  0.696	   6.76	   4.18	  3.0109439	 -2.9221028	 42.2334327	  0.32875	 0.98788316	     90	      5	 40.9520	
m60821c1r8.htb	    0.0	  20.00	  0.000	   0.00	 -10.00	  60.00	   0.0	   2.99	 64.000	  13.98	  0.000	   2.75	   2.85	  0.800	 0.00000000	  0.998	 0.00000000	  0.764	 0.00000000	 0.7086	  0.431	   1.52	  12.53	  0.0134711	 -2.8316743	  1.0060951	  0.12140	 0.99823053	     90	      5	 15.1422	
m60821c2r8.htb	    0.0	  20.00	  0.000	  -5.00	 -10.00	  40.00	   0.0	   2.99	  5.450	   4.80	  0.000	   2.63	   1.04	  0.424	 0.07077640	  0.848	 0.00042360	  0.134	 0.00038506	 0.3928	  0.438	   3.84	   0.97	  0.2427811	  1.3500810	  0.9906492	  0.26377	 0.99204226	     90	      5	 16.0924	
m60821c3r8.htb	  110.0	  20.00	  0.000	 -10.00	   0.00	  40.00	   0.0	   4.03	 44.000	  10.52	  0.000	   3.86	   2.24	  0.637	 0.00000191	  0.952	 0.00000712	  0.370	 0.00000000	 0.5204	  0.607	   0.00	  10.52	  0.0307488	 -18.0978073  1.9096697	  0.44336	 0.97877552	     90	      5	 30.9670	
m60822c3r8.htb	    0.0	  20.00	  0.000	  -8.00	 -10.00	  40.00	   0.0	   1.89	 12.000	   3.08	  0.000	   1.73	   0.85	  0.360	 0.67534804	  0.727	 0.00350926	  0.048	 0.03783195	 0.2846	  0.386	   1.73	   1.34	  1.2348165	  1.2836418	 13.2366565	  0.19013	 0.99575783	     90	      5	 12.2638	
m60822c4r8.htb	  240.0	  20.00	  0.000	  -8.00	   0.00	  40.00	   0.0	   4.83	 39.050	  11.04	  0.000	   4.99	   1.43	  0.537	 0.00000176	  0.911	 0.00006296	  0.472	 0.00000000	 0.5454	  0.444	   5.00	   6.04	  0.0391173	  0.8822204	  1.4934488	  0.82365	 0.93524899	     63	      5	 11.5731	
m60823c1r8.htb	    0.0	  20.00	  0.000	  10.00	   5.00	  40.00	   0.0	  22.59	 15.850	  29.07	  0.000	  21.84	  11.49	  0.264	 0.01566507	  0.925	 0.00003446	  0.186	 0.00002179	 0.3989	  0.573	  21.95	   7.12	  0.0872545	  0.4399971	  1.3437496	  0.18939	 0.99579051	     90	      5	 27.1064	
m60823c2r8.htb	   70.0	  20.00	  0.000	   0.00	   0.00	  40.00	   0.0	   7.11	 17.750	  10.73	  0.000	   6.74	   7.21	  0.370	 0.00234044	  0.825	 0.00070810	  0.205	 0.00000755	 0.4553	  0.424	   4.46	   6.27	  0.0166330	 -0.2277085	  0.2988883	  0.44295	 0.97881200	     90	      5	 15.2959	
m60823c3r8.htb	   70.0	  20.00	  0.000	  -5.00	   0.00	  40.00	   0.0	  14.88	 45.300	  20.21	  0.000	  13.72	  12.04	  0.296	 0.39906290	  0.814	 0.00087803	  0.077	 0.00803916	 0.3228	  0.863	  13.72	   6.50	  0.0087131	  0.0000000	  0.3946806	  0.18104	 0.99614228	     90	      5	 61.7768	
m60823c4r8.htb	    0.0	  20.00	  0.000	 -10.00	   0.00	  40.00	   0.0	  12.84	 25.600	  21.07	  0.000	  12.54	  11.29	  0.375	 0.00000000	  0.973	 0.00000097	  0.469	 0.00000000	 0.5493	  0.393	   9.50	  11.57	  0.0154179	 -0.3427147	  0.3999831	  0.19714	 0.99544982	     90	      5	 12.7906	
m60824c1r8.htb	    0.0	  20.00	  0.000	  -5.00	   5.00	  40.00	   0.0	  11.79	 31.200	  21.35	  0.000	  11.32	   4.83	  0.484	 0.00000313	  0.859	 0.00032771	  0.326	 0.00000000	 0.5408	  0.597	   4.78	  16.57	  0.0082170	 -0.3217000	  0.2588218	  0.57678	 0.96560857	     90	      5	 31.5818	
m60824c2r8.htb	    0.0	  20.00	  0.000	  -5.00	  -5.00	  40.00	   0.0	   8.76	 21.800	  11.72	  0.000	   8.55	   7.40	  0.327	 0.00360052	  0.725	 0.00359265	  0.118	 0.00004675	 0.4304	  0.441	   8.33	   3.38	  0.0228731	 -0.0343295	  0.4997012	  0.56258	 0.96712998	    135	      5	 25.6217	
m60824c3r8.htb	    0.0	  20.00	  0.000	  -5.00	   0.00	  40.00	   0.0	   9.35	 45.800	  13.55	  0.000	  10.20	   6.47	  0.280	 0.08872780	  0.631	 0.01052222	  0.095	 0.00306535	 0.3607	  0.483	  10.20	   3.34	  0.1189046	 -3.2515587	  5.8325162	  0.64712	 0.95768675	     90	      5	 20.2348	
