FILE		       PrDir	 PrSpd	 PrHDsp	 RFX	       RFY	      RFDiam	 ZerSpd	 ZerRsp	 MaxSpd	 MaxRsp	 MinSpd	 MinRsp	 Spont	 SpdMI	 AnovaP	 Rmeans	 Pmeans	  Rraw	 Praw		 SDI	       VarTrm	  R0	         K	       alpha	tau		 expon	Chi2		 ChiP		  Npts	   Npars	 FitErr	
m60221c3r8.htb	    0.0	  10.00	  0.000	   3.00	   8.00	  50.00	   0.0	   5.87	 28.600	  13.71	  0.000	   5.31	   3.83	  0.622	 0.00000000	  0.976	 0.00000065	  0.578	 0.00000000	 0.6153	  0.444	   5.42	   8.29	  0.0413183	  0.2984421	  1.1688463	  0.35740	 0.98584822	     90	      5	 16.6555	
m60221c4r8.htb	  220.0	  10.00	  0.000	   8.00	   0.00	  50.00	   0.0	   0.70	 19.650	   2.14	  0.000	   0.49	   1.00	  0.731	 0.15845104	  0.697	 0.00513534	  0.183	 0.00338080	 0.4438	  0.523	   0.00	   2.14	  0.0249680	 -0.3851716	  0.4998830	  3.11166	 0.53931602	     45	      5	 10.6793	
m60221c5r9.htb	    0.0	  10.00	  0.000	   0.00	   0.00	  50.00	   0.0	   4.64	  0.400	   3.11	  7.000	   2.07	   2.16	  0.554	 0.90083200	  0.445	 0.04983239	  0.031	 0.20192786	 0.1978	  1.237	   2.07	   1.04	 15.4495879	 -4.8884246	 81.3248262	  0.18684	 0.99589896	     54	      5	 70.2271	
m60227c1r8.htb	  100.0	  10.00	  0.000	   5.00	   0.00	  40.00	   0.0	   3.23	  4.850	   4.03	 64.000	   2.82	   0.80	  0.348	 0.40409729	  0.688	 0.00571479	  0.065	 0.01548734	 0.2934	  0.452	   2.80	   1.23	  0.0864138	 -0.0487985	  0.4232244	  0.20868	 0.99492080	     90	      5	 16.9694	
m60404c1r8.htb	    0.0	  10.00	  0.000	   0.00	   0.00	  40.00	   0.0	   9.70	 15.150	  12.41	  0.000	   8.62	   9.75	  0.353	 0.02318321	  0.755	 0.00235847	  0.144	 0.00022634	 0.4307	  0.512	   5.77	   6.64	  0.0296841	 -1.1147415	  0.4830316	  0.55310	 0.96813031	     90	      5	 22.8585	
m60411c1r8.htb	  270.0	  10.00	  0.000	 -10.00	  -5.00	  60.00	   0.0	   4.83	 47.400	   7.84	  4.300	   5.08	   0.90	  0.276	 0.68138824	  0.678	 0.00635855	  0.044	 0.04599269	 0.2785	  0.503	   5.08	   2.76	  0.2878909	  5.0758173	 12.1863976	  0.25331	 0.99262538	     90	      5	 21.0349	
m60413c1r8.htb	  270.0	  10.00	  0.000	  -5.00	 -25.00	  60.00	   0.0	  11.34	 15.200	  14.61	  0.000	  11.33	   8.31	  0.268	 0.04564882	  0.875	 0.00021233	  0.150	 0.00016288	 0.4316	  0.362	  11.35	   3.26	  0.4037946	  1.9562894	  5.3558438	  0.20644	 0.99502549	     90	      5	 10.8714	
m60417c1r8.htb	  180.0	  10.00	  0.000	   0.00	  10.00	  50.00	   0.0	   1.24	  0.000	   0.70	  0.000	   0.70	   0.90	  0.486	 0.92405202	  0.000	        NaN	  0.000	        NaN	 0.2370	  0.692	   0.70	   0.79	  0.0000000	 -3.9020332	  0.1835136	  0.27978	 0.99108202	     90	      5	 40.1373	
m60418c2r8.htb	    0.0	  10.00	  0.000	  -5.00	 -15.00	  50.00	   0.0	  25.47	 27.350	  28.04	  0.000	  23.98	   9.05	  0.271	 0.10880205	  0.383	 0.07548170	  0.055	 0.02562459	 0.4175	  0.557	  16.17	  11.87	  0.0150518	 -6.7927639	  0.5142281	  0.80002	 0.93844521	     90	      5	 27.7487	
m60418c3r8.htb	    0.0	  10.00	  0.000	   0.00	 -10.00	  50.00	   0.0	  22.29	  0.000	  22.94	 64.000	  21.27	  12.14	  0.265	 0.43702795	  0.129	 0.34281373	  0.024	 0.31101198	 0.4359	  0.459	  21.27	   5.61	  0.4655092	 -3.2139989	  0.0713633	  1.51370	 0.82421145	     45	      5	 9.0884	
