FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 MaxLoc	 MaxRsp	 MinLoc	 MinRsp	 AvgRsp	 Spont	 AnovaP	 MSgrp	 MSerror	 MaxX 	 MinX 	
m60124c4r7.htb	   0.0	  0.03	 4.000	 10.00	 -5.00	 70.00	   1.0	 64.00	 14.53	  4.78	  2.40	  5.63	  3.90	 0.00000133	      2.922	      0.263	 64.00	  1.00	
m60124c3r9.htb	   0.0	  0.03	 4.000	  0.00	 10.00	 70.00	   0.0	 64.00	  5.90	 48.88	  3.40	  4.39	  3.79	 0.06388508	      0.269	      0.124	 64.00	  1.00	
m60124c3r9.htb	   0.0	  0.03	 4.000	  0.00	 10.00	 70.00	   1.0	 53.29	  9.48	 21.16	  2.91	  4.68	  3.79	 0.02173072	      0.460	      0.166	 64.00	  1.00	
m60124c3r9.htb	   0.0	  0.03	 4.000	  0.00	 10.00	 70.00	   0.0	 64.00	  5.90	 48.88	  3.40	  4.39	  3.79	 0.06388508	      0.269	      0.124	 64.00	  1.00	
m60124c3r9.htb	   0.0	  0.03	 4.000	  0.00	 10.00	 70.00	   1.0	 53.29	  9.48	 21.16	  2.91	  4.68	  3.79	 0.02173072	      0.460	      0.166	 64.00	  1.00	
m60124c2r6.htb	   0.0	  0.03	 4.000	  0.00	 10.00	 70.00	   0.0	 52.03	  6.77	 22.42	  0.67	  2.05	  1.49	 0.00977480	      0.401	      0.119	 64.00	  1.00	
m60124c2r6.htb	   0.0	  0.03	 4.000	  0.00	 10.00	 70.00	   1.0	 64.00	  2.74	 48.88	  1.97	  2.27	  1.49	 0.89109541	      0.048	      0.128	 64.00	  1.00	
m60125c1r7.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 50.00	   0.0	 52.03	 12.04	  1.00	  5.05	  6.94	  6.28	 0.00058316	      0.697	      0.140	 64.00	  1.00	
m60125c1r7.htb	  30.0	  0.05	 2.000	  0.00	  0.00	 50.00	   1.0	 45.73	  9.77	 64.00	  6.28	  7.09	  6.28	 0.58741936	      0.124	      0.158	 64.00	  1.00	
m60125c2r6.htb	  30.0	  0.03	 2.000	 -7.00	 -3.00	 40.00	   0.0	 51.40	 24.20	  1.00	  6.22	 10.04	  6.12	 0.00000000	      4.959	      0.268	 64.00	  1.00	
m60125c2r6.htb	  30.0	  0.03	 2.000	 -7.00	 -3.00	 40.00	   1.0	 64.00	 19.10	  2.26	  6.18	 10.49	  6.12	 0.00000000	      5.505	      0.208	 64.00	  1.00	
