0.025	 0.075	 0.125	 0.175	 0.225	 0.275	 0.325	 0.375	 0.425	 0.475	 0.525	 0.575	 0.625	 0.675	 0.725	 0.775	 0.825	 0.875	 0.925	 0.975	 1.025	 1.075	 1.125	 1.175	 1.225	 1.275	 1.325	 1.375	 1.425	 1.475	 1.525	 1.575	 1.625	 1.675	 1.725	 1.775	 1.825	 1.875	 1.925	 1.975	 2.025	 2.075	 2.125	 2.175	 2.225	 2.275	 2.325	 2.375	 2.425	 2.475	 2.525	 2.575	 2.625	 2.675	 2.725	 2.775	 2.825	 2.875	 2.925	 2.975	 3.000	
0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.500	 0.750	 0.000	 0.750	 1.000	 0.000	 0.250	 0.500	 0.000	 0.000	 0.250	 0.250	 0.250	 0.250	 0.250	 0.250	 0.750	 0.000	 0.000	 0.000	 0.000	 0.250	 0.250	 0.000	 0.000	 0.000	 0.000	 0.000	 0.250	 0.000	 0.500	 0.250	 0.000	 0.000	 0.000	 0.250	 0.000	 0.000	 0.250	 0.000	 0.250	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	
0.091	 0.091	 0.045	 0.045	 0.045	 0.227	 0.091	 0.091	 0.091	 0.045	 0.136	 0.091	 0.045	 0.545	 0.455	 0.364	 0.500	 0.500	 0.455	 0.727	 0.591	 0.682	 0.545	 0.864	 1.000	 0.545	 0.591	 0.545	 0.591	 0.727	 0.636	 0.591	 0.500	 0.409	 0.545	 0.318	 0.409	 0.409	 0.455	 0.545	 0.273	 0.227	 0.318	 0.182	 0.136	 0.318	 0.273	 0.409	 0.091	 0.273	 0.091	 0.000	 0.136	 0.136	 0.000	 0.000	 0.000	 0.000	 0.000	 0.091	 0.000	
0.000	 0.063	 0.000	 0.063	 0.063	 0.063	 0.125	 0.125	 0.000	 0.188	 0.250	 0.188	 0.063	 0.750	 0.688	 0.313	 0.563	 1.000	 0.750	 0.750	 0.688	 0.625	 0.500	 0.750	 0.250	 0.375	 0.563	 0.500	 0.563	 0.563	 0.625	 0.313	 0.375	 0.125	 0.125	 0.250	 0.250	 0.438	 0.125	 0.500	 0.375	 0.438	 0.250	 0.500	 0.313	 0.313	 0.313	 0.188	 0.125	 0.125	 0.125	 0.438	 0.313	 0.125	 0.313	 0.188	 0.063	 0.000	 0.063	 0.063	 0.000	
0.231	 0.231	 0.231	 0.231	 0.154	 0.462	 0.231	 0.231	 0.385	 0.231	 0.308	 0.462	 0.462	 0.538	 0.615	 0.923	 0.923	 0.769	 1.000	 0.385	 0.769	 0.385	 0.692	 0.538	 0.692	 0.308	 0.462	 0.462	 0.769	 0.769	 0.538	 0.692	 0.692	 0.769	 0.769	 0.615	 0.385	 0.231	 0.538	 0.077	 0.308	 0.077	 0.231	 0.308	 0.154	 0.154	 0.385	 0.308	 0.231	 0.538	 0.462	 0.462	 0.615	 0.385	 0.077	 0.154	 0.462	 0.385	 0.154	 0.154	 0.000	
0.296	 0.259	 0.259	 0.111	 0.333	 0.481	 0.333	 0.185	 0.111	 0.407	 0.296	 0.370	 0.222	 0.556	 0.704	 0.704	 0.852	 0.815	 0.778	 0.667	 0.593	 1.000	 0.778	 0.630	 0.481	 0.630	 0.593	 0.556	 0.630	 0.556	 0.333	 0.444	 0.444	 0.296	 0.481	 0.222	 0.407	 0.296	 0.407	 0.593	 0.556	 0.333	 0.407	 0.148	 0.444	 0.407	 0.148	 0.222	 0.148	 0.222	 0.259	 0.296	 0.296	 0.222	 0.333	 0.259	 0.296	 0.370	 0.333	 0.222	 0.000	
0.222	 0.444	 0.111	 0.222	 0.333	 0.000	 0.222	 0.556	 0.111	 0.222	 0.000	 0.000	 0.778	 1.000	 0.889	 0.333	 0.667	 0.111	 0.333	 1.000	 0.556	 0.889	 1.000	 0.444	 0.444	 0.667	 0.333	 0.222	 1.000	 0.444	 0.111	 0.222	 0.222	 0.222	 0.111	 0.111	 0.111	 0.333	 0.111	 0.667	 0.333	 0.222	 0.000	 0.333	 0.556	 0.222	 0.222	 0.111	 0.000	 0.222	 0.667	 0.222	 0.444	 0.111	 0.333	 0.333	 0.000	 0.111	 0.111	 0.111	 0.000	
0.000	 0.074	 0.000	 0.037	 0.111	 0.148	 0.037	 0.074	 0.000	 0.111	 0.074	 0.074	 0.667	 1.000	 0.667	 0.815	 0.815	 0.741	 0.741	 0.704	 0.593	 0.852	 0.815	 0.815	 0.778	 0.741	 0.704	 0.667	 0.815	 0.667	 0.704	 0.963	 0.852	 0.889	 0.667	 0.741	 0.778	 0.741	 0.889	 0.926	 0.815	 0.926	 0.704	 0.741	 0.815	 0.667	 0.630	 0.741	 0.852	 0.852	 0.704	 0.444	 0.333	 0.148	 0.074	 0.111	 0.000	 0.000	 0.000	 0.000	 0.000	
0.000	 0.000	 0.000	 0.059	 0.118	 0.118	 0.118	 0.059	 0.059	 0.000	 0.000	 0.059	 0.059	 0.059	 0.000	 0.176	 0.294	 0.706	 1.000	 0.765	 0.588	 0.941	 0.588	 0.765	 0.412	 0.176	 0.059	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.118	 0.235	 0.353	 0.235	 0.235	 0.059	 0.294	 0.059	 0.000	 0.000	 0.000	 0.000	 0.000	 0.059	 0.000	 0.059	 0.294	 0.412	 0.529	 0.059	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	
0.286	 0.000	 0.214	 0.429	 0.429	 0.143	 0.214	 0.286	 0.143	 0.143	 0.286	 0.357	 0.500	 0.857	 0.714	 1.000	 0.857	 0.714	 0.857	 0.571	 0.714	 0.857	 0.286	 0.643	 0.786	 0.571	 0.571	 0.571	 0.571	 0.357	 0.500	 0.714	 0.071	 0.571	 0.714	 0.286	 0.500	 0.500	 0.214	 0.714	 0.500	 0.429	 0.429	 0.357	 0.214	 0.286	 0.214	 0.500	 0.571	 0.286	 0.500	 0.429	 0.357	 0.071	 0.214	 0.143	 0.071	 0.143	 0.000	 0.071	 0.000	
0.059	 0.000	 0.000	 0.118	 0.176	 0.176	 0.176	 0.059	 0.176	 0.176	 0.118	 0.176	 0.412	 0.706	 0.941	 1.000	 0.824	 0.471	 0.588	 0.824	 0.706	 0.588	 0.529	 0.412	 0.294	 0.529	 0.882	 0.765	 0.882	 0.882	 0.471	 0.647	 0.471	 0.412	 0.294	 0.529	 0.647	 0.353	 0.176	 0.529	 0.235	 0.529	 0.353	 0.765	 0.588	 0.824	 0.882	 0.588	 0.412	 0.353	 0.353	 0.118	 0.176	 0.176	 0.000	 0.000	 0.000	 0.118	 0.000	 0.059	 0.000	
0.083	 0.042	 0.042	 0.042	 0.042	 0.083	 0.083	 0.083	 0.083	 0.083	 0.042	 0.000	 0.458	 0.833	 1.000	 0.667	 0.833	 0.958	 0.833	 0.750	 0.875	 0.792	 0.667	 0.667	 0.833	 0.958	 0.625	 0.792	 0.625	 0.583	 0.667	 0.708	 0.500	 0.667	 0.708	 0.833	 0.750	 0.750	 0.667	 0.417	 0.542	 0.625	 0.792	 0.750	 0.542	 0.583	 0.667	 0.542	 0.500	 0.417	 0.417	 0.667	 0.375	 0.125	 0.000	 0.000	 0.042	 0.125	 0.083	 0.000	 0.000	
0.000	 0.143	 0.000	 0.286	 0.000	 0.000	 0.000	 0.429	 0.286	 0.143	 0.429	 0.000	 0.857	 0.857	 1.000	 0.714	 0.857	 1.000	 0.571	 0.286	 0.286	 0.286	 0.286	 0.714	 0.571	 0.143	 0.571	 0.286	 0.286	 0.286	 0.286	 0.714	 0.143	 0.571	 0.714	 0.714	 0.429	 0.429	 0.429	 0.286	 0.429	 0.429	 0.286	 0.857	 0.857	 0.000	 0.429	 0.857	 0.571	 0.286	 0.429	 0.286	 0.429	 0.714	 0.429	 0.286	 0.000	 0.000	 0.000	 0.000	 0.000	
0.100	 0.050	 0.000	 0.050	 0.000	 0.050	 0.050	 0.100	 0.250	 0.300	 0.150	 0.100	 0.450	 0.600	 0.450	 0.550	 0.750	 0.850	 0.850	 0.900	 0.550	 0.700	 0.550	 0.800	 0.900	 0.950	 0.650	 0.650	 0.750	 0.750	 0.700	 0.550	 0.650	 0.750	 0.700	 0.550	 0.550	 0.700	 0.600	 0.750	 0.550	 0.600	 0.550	 0.750	 0.550	 0.850	 0.750	 1.000	 0.650	 0.550	 0.500	 0.450	 0.250	 0.250	 0.150	 0.250	 0.150	 0.150	 0.150	 0.150	 0.000	
