FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 MaxLoc	 MaxRsp	 MinLoc	 MinRsp	 Spont	 TFMI		 AnovaP	 TFDI  	 VarTerm	 MaxX 	 MinX 	 TFHWHM	 TFHW25	 TFHW20	 TFHW15	 TFHW10	 RsqMn	 PMean	 RsqRaw	 Praw		 Chi2		 ChiP		 Brat		 Ampl		 Peak		 SD		 Offst		
m60125c2r11.htb	  30.0	  0.03	 2.000	 -7.00	 -3.00	 40.00	   0.0	 4.4600	 18.73	 0.5000	 12.50	  6.52	 0.510	 0.00453926	 0.442	  0.435	  8.00	  0.50	  0.6300	  0.9000	  0.9800	  1.0700	  1.1900	 0.6621	 0.09379302	 0.1852	 0.00181282	 0.4926	        NaN	 12.50	  6.23	 4.4593	 0.1077	 0.0612	
m60125c2r11.htb	  30.0	  0.03	 2.000	 -7.00	 -3.00	 40.00	   1.0	 1.4900	 16.35	 8.0000	  8.78	  6.52	 0.754	 0.00000002	 0.626	  0.323	  8.00	  0.50	  2.6700	  4.1900	  4.5600	  4.9800	  5.4400	 0.9927	 0.00026474	 0.5964	 0.00000000	 0.0542	        NaN	  5.23	 11.12	 1.4858	 1.0792	 0.1000	
m60125c3r2.htb	  30.0	  0.03	 2.000	  0.00	 -10.00	 30.00	   0.0	 1.3400	 19.79	 8.0000	  6.77	  2.64	 1.105	 0.00000000	 0.664	  0.488	  8.00	  0.50	  2.6400	  4.2000	  4.6000	  5.0300	  5.5100	 0.9437	 0.00577376	 0.6314	 0.00000000	 0.6602	        NaN	  0.84	 18.96	 1.3356	 1.1351	 0.1000	
m60125c3r2.htb	  30.0	  0.03	 2.000	  0.00	 -10.00	 30.00	   1.0	 1.1400	 20.86	 8.0000	  9.33	  2.64	 1.036	 0.00000011	 0.617	  0.496	  8.00	  0.50	  2.6900	  4.3200	  4.7300	  5.1900	  5.6900	 0.9153	 0.01074799	 0.5159	 0.00000000	 0.5365	        NaN	  3.10	 17.76	 1.1412	 1.2956	 0.1000	
m60125c4r5.htb	  90.0	  0.05	 2.000	  0.00	 -8.00	 30.00	   0.0	 1.0900	 18.99	 8.0000	  8.00	  3.73	 1.081	 0.00010266	 0.542	  0.722	  8.00	  0.50	  2.6400	  4.2800	  4.7000	  5.1700	  5.6800	 0.8144	 0.03603384	 0.3256	 0.00001514	 0.5322	        NaN	  2.49	 16.49	 1.0887	 1.2955	 0.1000	
m60125c4r5.htb	  90.0	  0.05	 2.000	  0.00	 -8.00	 30.00	   1.0	 1.2200	 22.21	 8.0000	  8.25	  3.73	 1.127	 0.00000116	 0.601	  0.649	  8.00	  0.50	  2.7000	  4.3100	  4.7100	  5.1500	  5.6400	 0.8984	 0.01419184	 0.4611	 0.00000006	 0.5266	        NaN	  0.80	 21.42	 1.2211	 1.2478	 0.1000	
m60201c2r4.htb	  90.0	  0.03	 2.000	  0.00	 -10.00	 50.00	   0.0	 1.2700	 25.17	 8.0000	 13.48	 14.73	 1.701	 0.00000004	 0.627	  0.408	  8.00	  0.50	  2.6500	  4.2400	  4.6500	  5.0900	  5.5800	 0.9935	 0.00022339	 0.5773	 0.00000000	 0.0430	        NaN	  7.41	 17.76	 1.2690	 1.2563	 0.0010	
m60201c2r4.htb	  90.0	  0.03	 2.000	  0.00	 -10.00	 50.00	   1.0	 1.2500	 27.62	 8.0000	 13.65	 14.73	 1.614	 0.00000011	 0.599	  0.522	  8.00	  0.50	  2.6100	  4.2000	  4.6000	  5.0500	  5.5500	 0.9774	 0.00145281	 0.5502	 0.00000000	 0.2788	        NaN	  7.55	 20.07	 1.2466	 1.1629	 0.1000	
m60201c3r7.htb	 270.0	  0.03	 2.000	  8.00	 -15.00	 50.00	   0.0	 1.8900	 24.99	 8.0000	  9.94	  5.17	 1.209	 0.00000121	 0.589	  0.703	  8.00	  0.50	  2.7600	  4.1600	  4.5000	  4.8600	  5.2400	 0.8448	 0.02726665	 0.4327	 0.00000021	 0.8120	        NaN	  1.04	 23.96	 1.8916	 0.9974	 0.1000	
m60201c3r7.htb	 270.0	  0.03	 2.000	  8.00	 -15.00	 50.00	   1.0	 1.9000	 24.28	 8.0000	 11.59	  5.17	 1.129	 0.00000525	 0.559	  0.668	  8.00	  0.50	  2.7400	  4.1400	  4.4800	  4.8400	  5.2200	 0.8733	 0.01991443	 0.4173	 0.00000041	 0.5396	        NaN	  4.36	 19.93	 1.8995	 0.9826	 0.1000	
m60201c4r8.htb	 270.0	  0.05	 2.000	  8.00	 -18.00	 50.00	   0.0	 1.2800	  5.32	 8.0000	  2.55	  2.74	 1.304	 0.08550585	 0.381	  0.551	  8.00	  0.50	  2.3100	  3.7900	  4.2000	  4.6700	  5.2200	 0.9665	 0.00263393	 0.1574	 0.00434164	 0.0174	        NaN	  1.95	  3.37	 1.2826	 0.9499	 0.1000	
m60201c4r8.htb	 270.0	  0.05	 2.000	  8.00	 -18.00	 50.00	   1.0	 1.3000	  5.54	 8.0000	  2.17	  2.74	 1.668	 0.00641375	 0.495	  0.506	  8.00	  0.50	  2.7900	  4.3800	  4.7700	  5.1900	  5.6500	 0.8034	 0.03943524	 0.2147	 0.00070142	 0.3936	        NaN	  0.00	  5.54	 1.3012	 1.2815	 0.1000	
m60203c1r4.htb	   0.0	  0.03	 2.000	 -2.00	 -12.00	 50.00	   0.0	 1.5600	 14.65	 16.0000	  5.77	  6.67	 1.835	 0.00000026	 0.629	  0.483	 16.00	  0.50	  5.1900	  8.7300	  9.6500	 10.6600	 11.7800	 0.8795	 0.00568476	 0.4432	 0.00000001	 1.0341	        NaN	  0.00	 14.65	 1.5621	 1.6633	 0.1000	
m60203c1r4.htb	   0.0	  0.03	 2.000	 -2.00	 -12.00	 50.00	   1.0	 1.7500	 14.97	 16.0000	  6.37	  6.67	 1.713	 0.00000002	 0.621	  0.423	 16.00	  0.50	  5.0700	  8.5200	  9.4300	 10.4300	 11.5500	 0.9321	 0.00176795	 0.5130	 0.00000000	 0.4166	        NaN	  1.69	 13.28	 1.7548	 1.5248	 0.0161	
m60203c2r7.htb	   0.0	  0.03	 2.000	 -5.00	 -10.00	 40.00	   0.0	 0.9700	 17.91	 16.0000	 11.18	  9.25	 1.569	 0.00001094	 0.563	  0.459	 16.00	  0.50	  5.0900	  8.9300	  9.9300	 11.0200	 12.2200	 0.6961	 0.03890776	 0.2958	 0.00000709	 1.2096	        NaN	  4.33	 13.58	 0.9680	 2.3178	 0.1000	
m60203c2r7.htb	   0.0	  0.03	 2.000	 -5.00	 -10.00	 40.00	   1.0	 1.2100	 19.60	 16.0000	  9.67	  9.25	 1.251	 0.00000000	 0.647	  0.357	 16.00	  0.50	  3.1000	  5.7000	  6.5400	  7.6100	  9.0400	 0.9524	 0.00086272	 0.6573	 0.00000000	 0.7002	        NaN	  8.95	 10.65	 1.2078	 1.0816	 0.1000	
m60203c3r4.htb	   0.0	  0.03	 2.000	  5.00	 -20.00	 40.00	   0.0	 0.5000	 13.35	 16.0000	  4.56	  6.11	 1.557	 0.00302291	 0.524	  0.718	 16.00	  0.50	  3.3500	  6.7800	  7.8600	  9.1700	 10.7800	 0.9054	 0.00346924	 0.3448	 0.00004350	 0.5416	        NaN	  2.08	 11.27	 0.5000	 1.8903	 0.1000	
m60203c3r4.htb	   0.0	  0.03	 2.000	  5.00	 -20.00	 40.00	   1.0	 1.1600	 15.89	 16.0000	  6.19	  6.11	 1.210	 0.00005040	 0.579	  0.541	 16.00	  0.50	  2.4800	  4.5500	  5.2500	  6.1600	  7.4600	 0.9992	 0.00000025	 0.5175	 0.00000008	 0.0016	        NaN	  5.92	  9.97	 1.1594	 0.9694	 0.0371	
