FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	
m60706c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.42	 11.80	 12.31	  9.79	 -0.21	 -2.52	  0.00		  0.00		 
m60706c3r1.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	  5.81	 10.67	 15.19	 16.55	 -1.18	 -3.79	  0.00		 -10.00		 
m60706c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.41	  2.28	 15.02	 23.94	 10.42	 -8.18	  0.00		  0.00		 
m60712c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.74	 11.33	 14.14	 16.14	 -2.47	  6.25	  0.00		  0.00		 
m60713c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.08	  2.92	 23.40	 13.45	 -6.58	  6.54	  0.00		  0.00		 
m60713c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.93	  4.74	 20.09	 15.70	  7.88	  1.92	  0.00		  0.00		 
m60714c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.16	  5.65	 16.21	 13.44	  2.63	  6.31	  0.00		  0.00		 
m60714c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.37	  3.28	  9.96	  9.85	 -1.68	 -1.76	  0.00		  0.00		 
m60714c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.88	  7.10	 14.07	 17.35	 -6.77	  2.28	  0.00		  0.00		 
m60714c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  8.98	 17.64	 27.54	 30.45	 -4.32	  7.83	  0.00		  0.00		 
m60717c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.94	  7.47	 24.50	 24.24	 -6.05	 -7.34	  0.00		  0.00		 
m60717c2r1.htb	 170.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.24	  4.76	 18.82	 19.41	  3.45	 -3.59	  0.00		  0.00		 
m60719c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.97	  7.19	 11.48	 11.35	  3.08	 -7.45	  0.00		  0.00		 
m60719c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.39	  4.34	 26.47	 21.12	 -6.72	 12.19	  0.00		  0.00		 
m60719c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.39	  4.34	 26.47	 21.12	 -6.72	 12.19	  0.00		  0.00		 
m60721c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.63	 12.11	 26.34	 12.19	  4.73	 -2.82	  0.00		  0.00		 
m60721c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.63	 12.11	 26.34	 12.19	  4.73	 -2.82	  0.00		  0.00		 
m60721c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.38	 18.90	 26.58	 17.07	  3.42	  0.52	  0.00		  0.00		 
m60721c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.04	 14.22	 25.07	 22.02	 -1.12	  5.91	  0.00		  0.00		 
m60724c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.42	  7.24	 22.01	 17.31	  4.79	  1.87	  0.00		  0.00		 
