FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	 rotation_from_horizontal	
m70925c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.15	 11.89	 20.43	 18.16	  6.47	 -2.69	  0.00		  0.00		  1.13		 -0.00		
m70925c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  2.16	  7.16	 14.32	  5.86	  0.02	 -1.43	  0.00		  0.00		  2.45		 -0.00		
m71003c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  1.87	  3.08	 17.77	 14.67	 -0.56	  7.08	  0.00		  0.00		  1.21		 -0.00		
m71003c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  0.60	  8.25	 27.14	 16.33	 -3.21	  3.36	  0.00		  0.00		  1.66		  0.00		
m71004c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  2.51	  3.32	 22.32	 10.76	 -3.42	  0.21	  0.00		  0.00		  2.08		  0.00		
m71004c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  2.99	 12.56	 14.91	 13.19	 -1.06	 12.03	  0.00		  0.00		  1.13		 -0.00		
m71005c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.12	  2.20	 40.73	 16.57	  9.24	  6.86	  0.00		  0.00		  2.46		 -0.00		
m71005c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.32	  1.83	 13.30	 16.34	  0.55	  6.59	  0.00		  0.00		  0.81		 -0.00		
m71016c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  5.95	  8.11	 19.90	 15.61	  0.17	 -11.84	  0.00		  0.00		  1.27		  0.00		
m71128c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  8.53	  2.99	 12.86	  7.89	  9.59	  3.06	  0.00		  0.00		  1.63		  0.00		
m71129c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.15	  3.27	 32.41	 10.99	 -2.15	 -5.82	  0.00		  0.00		  2.95		 -0.00		
m71129c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.12	  5.84	 24.58	 17.17	  1.26	 -1.45	  0.00		  0.00		  1.43		  0.00		
m71129c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.07	  6.66	 33.38	 20.58	  6.96	  1.05	  0.00		  0.00		  1.62		 -0.00		
m71203c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.20	  3.53	 26.54	 17.78	  7.60	 -4.70	  0.00		  0.00		  1.49		  0.00		
m71204c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.41	  6.93	 26.99	 23.20	 -3.43	 -3.93	  0.00		  0.00		  1.16		 -0.00		
m71205c2r1.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 30.00	  3.47	 18.07	 19.67	 18.82	  1.69	  2.92	  0.00		 -5.00		  1.05		  0.00		
m71205c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.08	 36.35	 22.64	 21.81	  1.29	  7.00	  0.00		  0.00		  1.04		 -0.00		
m71206c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 17.19	 10.06	 20.68	 13.09	 -5.80	 -9.99	  0.00		  0.00		  1.58		  0.00		
m71210c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.56	 -1.23	 11.75	  4.60	 -30.00	 -29.96	  0.00		  0.00		  2.55		 -0.00		
m71211c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.09	  5.97	 27.09	 12.94	 -7.52	 -19.34	  0.00		  0.00		  2.09		  0.00		
m71211c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 17.83	 11.09	 31.65	 27.27	  4.37	 -15.17	  0.00		  0.00		  1.16		 -0.00		
m71211c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 13.20	  8.88	 110.52	 18.90	 30.00	 -15.93	  0.00		  0.00		  5.85		  0.00		
m71218c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.08	  9.64	 35.55	 20.91	  4.15	  7.34	  0.00		  0.00		  1.70		 -0.00		
m71218c2r1.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 30.00	  0.10	  9.07	 12.32	 10.89	  8.19	 -1.29	  0.00		  0.00		  1.13		  0.00		
m71218c3r1.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.34	  6.49	 24.66	 18.22	  0.60	  4.06	  0.00		  0.00		  1.35		 -0.00		
m71219c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.77	  2.21	  8.47	 10.01	 -2.77	 13.81	  0.00		  0.00		  0.85		  0.00		
m71219c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.13	  5.33	 11.82	 11.41	  4.34	  3.42	  0.00		  0.00		  1.04		 -0.00		
m71231c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.21	  5.59	 23.03	 16.21	  8.34	 -10.93	  0.00		  0.00		  1.42		  0.00		
m71231c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.42	  7.90	 21.40	 12.58	  0.97	 -12.77	  0.00		  0.00		  1.70		  0.00		
m71231c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 11.69	  5.52	 22.02	  8.47	 -3.40	 -16.69	  0.00		  0.00		  2.60		  0.00		
m80102c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.85	  7.50	 21.06	 14.79	  1.47	 -17.58	  0.00		  0.00		  1.42		  0.00		
m80102c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 11.35	 20.17	 21.63	 12.90	 -1.58	 -17.01	  0.00		  0.00		  1.68		  0.00		
m80102c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  7.55	  9.77	 19.01	 15.47	  5.95	 -16.17	  0.00		  0.00		  1.23		 -0.00		
m80103c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.33	 15.86	 15.57	 14.37	  1.95	 -9.27	  0.00		  0.00		  1.08		  0.00		
m80103c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  3.65	 12.53	 19.88	 12.90	 -3.16	 -16.60	  0.00		  0.00		  1.54		 -0.00		
m80103c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 35.00	  6.94	  7.26	 26.70	 16.77	  3.37	 -9.21	  0.00		  0.00		  1.59		  0.00		
m80103c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	 10.81	  9.89	 31.67	 33.70	 -4.60	 -22.50	  0.00		  0.00		  0.94		  0.00		
m80104c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  7.51	 25.04	 25.20	  7.24	 -7.66	 -0.92	  0.00		  0.00		  3.48		  0.00		
